ts,block_type,n_blocks
2018/11/29 2:49:17 AM,blocks_dup,0
2018/11/29 2:51:20 AM,blocks_recv,0
2018/11/29 2:51:20 AM,blocks_sent,1
2018/11/29 2:51:20 AM,blocks_dup,0
2018/11/29 2:53:24 AM,blocks_recv,0
2018/11/29 2:53:24 AM,blocks_sent,9
2018/11/29 2:53:24 AM,blocks_dup,0
2018/11/29 2:55:27 AM,blocks_recv,0
2018/11/29 2:55:27 AM,blocks_sent,9
2018/11/29 2:55:27 AM,blocks_dup,0
2018/11/29 2:57:31 AM,blocks_recv,0
2018/11/29 2:57:31 AM,blocks_sent,9
2018/11/29 2:57:31 AM,blocks_dup,0
2018/11/29 2:59:35 AM,blocks_recv,0
2018/11/29 2:59:35 AM,blocks_sent,9
2018/11/29 2:59:35 AM,blocks_dup,0
2018/11/29 3:01:39 AM,blocks_recv,0
2018/11/29 3:01:39 AM,blocks_sent,9
2018/11/29 3:01:39 AM,blocks_dup,0
2018/11/29 3:03:42 AM,blocks_recv,0
2018/11/29 3:03:42 AM,blocks_sent,9
2018/11/29 3:03:42 AM,blocks_dup,0
2018/11/29 3:05:45 AM,blocks_recv,0
2018/11/29 3:05:45 AM,blocks_sent,9
2018/11/29 3:05:45 AM,blocks_dup,0
2018/11/29 3:07:49 AM,blocks_recv,0
2018/11/29 3:07:49 AM,blocks_sent,9
2018/11/29 3:07:49 AM,blocks_dup,0
2018/11/29 3:09:53 AM,blocks_recv,0
2018/11/29 3:09:53 AM,blocks_sent,9
2018/11/29 3:09:53 AM,blocks_dup,0
2018/11/29 3:11:56 AM,blocks_recv,0
2018/11/29 3:11:56 AM,blocks_sent,9
2018/11/29 3:11:56 AM,blocks_dup,0
2018/11/29 3:13:59 AM,blocks_recv,0
2018/11/29 3:13:59 AM,blocks_sent,9
2018/11/29 3:13:59 AM,blocks_dup,0
2018/11/29 3:16:03 AM,blocks_recv,0
2018/11/29 3:16:03 AM,blocks_sent,9
2018/11/29 3:16:03 AM,blocks_dup,0
2018/11/29 3:18:08 AM,blocks_recv,0
2018/11/29 3:18:08 AM,blocks_sent,10
2018/11/29 3:18:08 AM,blocks_dup,0
2018/11/29 3:20:12 AM,blocks_recv,0
2018/11/29 3:20:12 AM,blocks_sent,10
2018/11/29 3:20:12 AM,blocks_dup,0
2018/11/29 3:22:16 AM,blocks_recv,0
2018/11/29 3:22:16 AM,blocks_sent,10
2018/11/29 3:22:16 AM,blocks_dup,0
2018/11/29 3:24:20 AM,blocks_recv,0
2018/11/29 3:24:20 AM,blocks_sent,10
2018/11/29 3:24:20 AM,blocks_dup,0
2018/11/29 3:26:24 AM,blocks_recv,0
2018/11/29 3:26:24 AM,blocks_sent,10
2018/11/29 3:26:24 AM,blocks_dup,0
2018/11/29 3:28:27 AM,blocks_recv,0
2018/11/29 3:28:27 AM,blocks_sent,10
2018/11/29 3:28:27 AM,blocks_dup,0
2018/11/29 3:30:31 AM,blocks_recv,0
2018/11/29 3:30:31 AM,blocks_sent,10
2018/11/29 3:30:31 AM,blocks_dup,0
2018/11/29 3:32:35 AM,blocks_recv,0
2018/11/29 3:32:35 AM,blocks_sent,10
2018/11/29 3:32:35 AM,blocks_dup,0
2018/11/29 3:34:39 AM,blocks_recv,0
2018/11/29 3:34:39 AM,blocks_sent,10
2018/11/29 3:34:39 AM,blocks_dup,0
2018/11/29 3:36:42 AM,blocks_recv,0
2018/11/29 3:36:42 AM,blocks_sent,10
2018/11/29 3:36:42 AM,blocks_dup,0
2018/11/29 3:38:44 AM,blocks_recv,0
2018/11/29 3:38:44 AM,blocks_sent,10
2018/11/29 3:38:44 AM,blocks_dup,0
2018/11/29 3:40:48 AM,blocks_recv,0
2018/11/29 3:40:48 AM,blocks_sent,10
2018/11/29 3:40:48 AM,blocks_dup,0
2018/11/29 3:42:54 AM,blocks_recv,0
2018/11/29 3:42:54 AM,blocks_sent,19
2018/11/29 3:42:54 AM,blocks_dup,0
2018/11/29 3:44:56 AM,blocks_recv,0
